Red_Frequency,Green_Frequency,Blue_Frequency,Clear_Frequency,Red,Green,Blue,Label
11126.726999822364,7228.688361851062,9209.305380479604,25999.643215118303,50.368762038489876,27.283569632164063,61.235239575739435,184.0
10342.844852398312,6807.55888691116,8546.24501130705,24286.046417036716,38.72879895850072,19.957215661635395,48.969767369809745,188.0
13415.712943250235,8773.36376693132,10637.480108073865,30677.684199764364,85.06330813743786,54.44887922613551,88.09314374442557,192.0
13445.827877396197,8753.59767351243,10640.519079591935,27366.17378613141,84.50855292099618,54.203184581192524,88.6353393282849,196.0
12950.432081245774,8498.638849152174,10383.528902179047,29764.10864361874,77.99545269867862,49.57140555105743,83.08620436133262,200.0
24502.488049673375,20009.073599206164,19444.532441066003,30894.2696262232,249.82407410874876,251.3375598614874,254.1155136402846,0.0
24158.56123771897,19255.948460262982,19309.931147760934,30226.263141911837,245.2225644906739,239.04253971204588,253.05654354250174,4.0
22921.738454819864,18010.0615062285,18441.165625936563,28805.93133690123,225.66087962576503,217.00287978996212,236.8318110326589,8.0
21101.067134132816,16286.15116726085,17107.21820518125,26294.13639950666,198.65796035583475,185.6992957168224,211.19089761240758,12.0
18862.463563559402,14264.856243978289,15338.214452282287,23413.780815777103,164.77574478337436,151.24607290350895,177.26845916780798,16.0
16721.42236459219,12506.141482349778,13789.408592667683,20761.749874891797,133.80566224556605,120.02520658809688,147.58146059422808,20.0
21265.772905823207,15560.579138253612,17125.040448027274,26000.527123567106,202.08264367630312,173.1781682718899,211.88158733509385,24.0
21308.292329796146,15380.483320656722,17206.787164970152,25899.58699782184,200.61801084008704,170.32310117588702,212.3840925715446,28.0
20307.604987288512,14510.165713617487,16517.79665254231,24536.788360259336,186.20321396960787,154.86998757831194,199.58813232327185,32.0
18718.454733221537,13293.251931296729,15328.09117460569,22814.224127101035,162.93399876958588,133.29641395446077,178.16809544927779,36.0
16644.45963345891,11618.950886530869,13741.471875578121,20010.576978265944,132.64064892057047,104.09815291465054,147.1017281260634,40.0
15064.80432129058,10533.533824311939,12505.487683792531,35243.886759693734,108.82153310044592,85.40079215471852,123.69385221747378,44.0
18912.731016129008,12947.067663010603,15336.68619623435,22461.541572042694,167.4606029821267,127.79581635046652,177.12015024680932,48.0
18831.781293750428,12642.942348466639,15303.356512560084,22217.472135210894,164.5798246541065,122.38065295303936,176.892416793772,52.0
17995.137173994277,12042.511997755466,14713.055677684426,21264.152708113066,152.35520146098622,111.68770534326147,165.34818589708604,56.0
16799.03425475364,11176.820979144639,13878.906022284078,19956.50921333886,134.82680186616932,96.75606679270989,149.5345557940741,60.0
